Time,Red_light,IR_light,SpO2,SpO2Valid
1744342564.428809,35.0,28.0,80.0,1.0
1744342564.5500357,34.0,25.0,80.0,1.0
1744342564.6298296,38.0,28.0,80.0,1.0
1744342564.7511353,35.0,34.0,80.0,1.0
1744342564.8408065,32.0,36.0,80.0,1.0
1744342564.9581475,24.0,36.0,80.0,1.0
1744342565.035908,25.0,35.0,80.0,1.0
1744342565.153954,28.0,39.0,80.0,1.0
1744342565.239868,22.0,34.0,80.0,1.0
1744342565.3569136,20.0,38.0,80.0,1.0
1744342565.433968,26.0,33.0,80.0,1.0
1744342565.5613418,22.0,32.0,80.0,1.0
1744342565.6355002,32.0,34.0,80.0,1.0
1744342565.750505,35.0,27.0,80.0,1.0
1744342565.8361928,35.0,30.0,80.0,1.0
1744342565.9560754,34.0,29.0,80.0,1.0
1744342566.0359502,31.0,34.0,80.0,1.0
1744342566.1509912,32.0,37.0,80.0,1.0
1744342566.2415965,29.0,35.0,80.0,1.0
1744342566.3517926,26.0,38.0,80.0,1.0
1744342566.439478,26.0,38.0,80.0,1.0
1744342566.5515485,26.0,29.0,80.0,1.0
1744342566.6391675,560.0,30.0,80.0,1.0
1744342566.7511773,2361.0,25.0,80.0,1.0
1744342566.8422213,418.0,27.0,80.0,1.0
1744342566.9537969,418.0,27.0,80.0,1.0
1744342567.0352256,418.0,27.0,80.0,1.0
1744342567.154877,892.0,2170.0,80.0,1.0
1744342567.2344313,410.0,2352.0,80.0,1.0
1744342567.3532877,17.0,2352.0,80.0,1.0
1744342567.4377208,21.0,2352.0,80.0,1.0
1744342567.560359,28.0,395.0,80.0,1.0
1744342567.6360092,34.0,907.0,80.0,1.0
1744342567.7574656,24.0,99.0,80.0,1.0
1744342567.833343,24.0,38.0,80.0,1.0
1744342567.9537556,25.0,40.0,80.0,1.0
1744342568.0385737,22.0,36.0,80.0,1.0
1744342568.1562006,25.0,38.0,80.0,1.0
1744342568.2342603,29.0,36.0,80.0,1.0
1744342568.3555815,34.0,34.0,80.0,1.0
1744342568.4348702,32.0,37.0,80.0,1.0
1744342568.5635486,33.0,33.0,80.0,1.0
1744342568.6433856,29.0,37.0,80.0,1.0
1744342568.7542381,23.0,32.0,80.0,1.0
1744342568.8412268,25.0,32.0,80.0,1.0
1744342568.9597445,24.0,32.0,80.0,1.0
1744342569.0356426,23.0,41.0,80.0,1.0
1744342569.1546783,25.0,33.0,80.0,1.0
1744342569.2421956,28.0,26.0,80.0,1.0
1744342569.3670642,19.0,27.0,80.0,1.0
1744342569.442489,24.0,30.0,22.0,1.0
1744342569.5625355,23.0,37.0,22.0,1.0
1744342569.6392689,23.0,30.0,22.0,1.0
1744342569.7606256,38.0,33.0,22.0,1.0
1744342569.8368418,29.0,32.0,22.0,1.0
1744342569.9565678,32.0,30.0,22.0,1.0
1744342570.044187,33.0,35.0,22.0,1.0
1744342570.1637814,34.0,34.0,22.0,1.0
1744342570.2376006,29.0,42.0,22.0,1.0
1744342570.3662965,29.0,29.0,22.0,1.0
1744342570.4417205,29.0,32.0,22.0,1.0
1744342570.5613816,1567.0,42.0,22.0,1.0
1744342570.6372864,2739.0,32.0,22.0,1.0
1744342570.7567098,106.0,33.0,22.0,1.0
1744342570.846263,106.0,33.0,22.0,1.0
1744342570.9626427,220.0,33.0,22.0,1.0
1744342571.0375485,912.0,2126.0,22.0,1.0
1744342571.1568089,150.0,1111.0,22.0,1.0
1744342571.247304,33.0,1111.0,22.0,1.0
1744342571.364818,25.0,1111.0,22.0,1.0
1744342571.442217,18.0,522.0,22.0,1.0
1744342571.5568922,26.0,498.0,22.0,1.0
1744342571.648209,23.0,76.0,22.0,1.0
1744342571.7622023,21.0,36.0,22.0,1.0
1744342571.839542,25.0,38.0,22.0,1.0
1744342571.9647517,34.0,37.0,80.0,1.0
1744342572.0427794,25.0,37.0,80.0,1.0
1744342572.162024,26.0,38.0,80.0,1.0
1744342572.2472286,21.0,40.0,80.0,1.0
1744342572.3669605,26.0,38.0,80.0,1.0
1744342572.4436972,20.0,33.0,80.0,1.0
1744342572.5639832,24.0,35.0,80.0,1.0
1744342572.6408691,33.0,35.0,80.0,1.0
1744342572.7679904,28.0,29.0,80.0,1.0
1744342572.8448653,27.0,31.0,80.0,1.0
1744342572.9606206,35.0,40.0,80.0,1.0
1744342573.0477054,29.0,33.0,80.0,1.0
1744342573.16726,30.0,36.0,80.0,1.0
1744342573.2420728,28.0,34.0,80.0,1.0
1744342573.360429,34.0,35.0,80.0,1.0
1744342573.448109,22.0,37.0,80.0,1.0
1744342573.5716407,26.0,41.0,80.0,1.0
1744342573.6474986,24.0,39.0,80.0,1.0
1744342573.7707112,21.0,30.0,80.0,1.0
1744342573.8478909,22.0,30.0,80.0,1.0
1744342573.9634387,33.0,26.0,80.0,1.0
1744342574.0475457,28.0,40.0,80.0,1.0
1744342574.1637638,34.0,33.0,80.0,1.0
1744342574.2484496,34.0,38.0,80.0,1.0
1744342574.3680258,34.0,29.0,80.0,1.0
1744342574.4431376,853.0,30.0,58.0,1.0
1744342574.5608742,2020.0,25.0,58.0,1.0
1744342574.649825,254.0,30.0,58.0,1.0
1744342574.7686348,254.0,30.0,58.0,1.0
1744342574.843407,43.0,30.0,58.0,1.0
1744342574.963586,915.0,2508.0,58.0,1.0
1744342575.049766,292.0,1782.0,58.0,1.0
1744342575.166077,30.0,1782.0,58.0,1.0
1744342575.2503204,28.0,1782.0,58.0,1.0
