Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,,,,,50 point average,,
1744341560,22,37,77,1,,,56.94117647,,,,,,56.94117647,,
1744341560,24,34,77,1,,,56.33333333,,,,,,56.33333333,,
1744341560,30,24,77,1,,,55.7254902,,,,,,55.7254902,,
1744341560,35,36,77,1,,,55.11764706,,,,,,55.11764706,,
1744341560,33,32,77,1,,,54.50980392,,,,,,54.50980392,,
1744341560,28,37,77,1,,,53.90196078,,,,,,53.90196078,,
1744341560,25,41,77,1,,,53.29411765,,,,,,53.29411765,,
1744341560,24,39,77,1,,,52.68627451,,,,,,52.68627451,,
1744341560,27,36,77,1,,,52.07843137,,,,,,52.07843137,,
1744341561,24,36,77,1,,,51.47058824,,,,,,51.47058824,,
1744341561,26,30,77,1,,,50.8627451,,,,,,50.8627451,,
1744341561,26,38,77,1,,,50.25490196,,,,,,50.25490196,,
1744341561,26,32,77,1,,,49.64705882,,,,,,49.64705882,,
1744341561,1217,23,77,1,,,49.03921569,,,,,,49.03921569,,
1744341561,2910,31,77,1,,,48.43137255,,,,,,48.43137255,,
1744341561,159,35,77,1,,,47.82352941,,,,,,47.82352941,,
1744341561,159,35,77,1,,,47.21568627,,,,,,47.21568627,,
1744341561,49,35,77,1,,,46.60784314,,,,,,46.60784314,,
1744341564,29,33,46,1,,,46,,,,,,46,,
1744341564,25,35,46,1,,,46,,,,,,46,,
1744341564,27,37,46,1,,,46,,,,,,46,,
1744341564,26,28,46,1,,,46,,,,,,46,,
1744341564,32,33,46,1,,,46,,,,,,46,,
1744341564,28,35,46,1,,,46,,,,,,46,,
1744341565,23,35,46,1,,,46,,,,,,46,,
1744341565,22,36,46,1,,,46,,,,,,46,,
1744341565,8,35,46,1,,,46,,,,,,46,,
1744341565,8,36,46,1,,,46,,,,,,46,,
1744341565,226,38,46,1,,,46,,,,,,46,,
1744341565,2731,39,46,1,,,46,,,,,,46,,
1744341565,745,33,46,1,,,46,,,,,,46,,
1744341565,745,9,46,1,,,46,,,,,,46,,
1744341565,745,9,46,1,,,46,,,,,,46,,
1744341565,726,376,46,1,,,46,,,,,,46,,
1744341566,571,2675,46,1,,,46,,,,,,46,,
1744341566,73,586,46,1,,,46,,,,,,46,,
1744341566,30,586,46,1,,,46,,,,,,46,,
1744341566,20,586,46,1,,,46,,,,,,46,,
1744341566,23,1075,46,1,,,46,,,,,,46,,
1744341566,29,598,46,1,,,46,,,,,,46,,
1744341566,29,41,46,1,,,46,,,,,,46,,
1744341566,30,39,46,1,,,46,,,,,,46,,
1744341566,27,39,46,1,,,46,,,,,,46,,
1744341566,36,27,46,1,,,46,,,,,,46,,
1744341567,24,40,46,1,,,46,,,,,,46,,
1744341567,22,32,46,1,,,46,,,,,,46,,
1744341567,22,35,46,1,,,46,,,,,,46,,
1744341567,24,32,46,1,,,46,,,,,,46,,
1744341567,35,29,46,1,,,46,,,,,,46,,
1744341567,28,35,46,1,,,46,,,,,,46,,
1744341567,34,35,46,1,,,46,,,,,,46,,
1744341567,35,35,46,1,,,46,,,,,,46,,
1744341567,30,35,46,1,,,46,,,,,,46,,
1744341567,26,37,46,1,,,46,,,,,,46,,
1744341568,24,41,46,1,,,46,,,,,,46,,
1744341568,27,35,46,1,,,46,,,,,,46,,
1744341568,22,38,46,1,,,46,,,,,,46,,
1744341568,31,37,46,1,,,46,,,,,,46,,
1744341568,32,33,46,1,,,46,,,,,,46,,
