Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,50 point average,,
1744344039,31,29,98,1,,,94.82352941,,94.82352941,,
1744344039,35,37,98,1,,,94.66666667,,94.66666667,,
1744344039,35,33,98,1,,,94.50980392,,94.50980392,,
1744344040,35,33,98,1,,,94.35294118,,94.35294118,,
1744344040,2582,41,98,1,,,94.19607843,,94.19607843,,
1744344040,2030,36,98,1,,,94.03921569,,94.03921569,,
1744344040,2030,7,98,1,,,93.88235294,,93.88235294,,
1744344040,2030,7,98,1,,,93.7254902,,93.7254902,,
1744344040,757,753,98,1,,,93.56862745,,93.56862745,,
1744344040,709,3110,98,1,,,93.41176471,,93.41176471,,
1744344040,36,203,98,1,,,93.25490196,,93.25490196,,
1744344040,37,203,98,1,,,93.09803922,,93.09803922,,
1744344040,23,151,96,1,,,92.39215686,,92.39215686,,
1744344041,25,951,96,1,,,91.7254902,,91.7254902,,
1744344041,27,219,96,1,,,91.05882353,,91.05882353,,
1744344041,25,32,96,1,,,90.39215686,,90.39215686,,
1744344041,27,34,96,1,,,89.7254902,,89.7254902,,
1744344041,27,28,96,1,,,89.05882353,,89.05882353,,
1744344041,38,35,96,1,,,88.39215686,,88.39215686,,
1744344041,35,36,96,1,,,87.7254902,,87.7254902,,
1744344041,28,37,96,1,,,87.05882353,,87.05882353,,
1744344041,26,36,96,1,,,86.39215686,,86.39215686,,
1744344042,19,44,96,1,,,85.7254902,,85.7254902,,
1744344042,24,33,96,1,,,85.05882353,,85.05882353,,
1744344042,37,30,96,1,,,84.39215686,,84.39215686,,
1744344042,31,29,96,1,,,83.7254902,,83.7254902,,
1744344042,37,37,96,1,,,83.05882353,,83.05882353,,
1744344042,27,37,96,1,,,82.39215686,,82.39215686,,
1744344042,27,37,96,1,,,81.7254902,,81.7254902,,
1744344042,28,38,96,1,,,81.05882353,,81.05882353,,
1744344042,29,32,96,1,,,80.39215686,,80.39215686,,
1744344042,27,35,96,1,,,79.7254902,,79.7254902,,
1744344042,24,37,96,1,,,79.05882353,,79.05882353,,
1744344043,26,27,96,1,,,78.39215686,,78.39215686,,
1744344043,41,29,96,1,,,77.7254902,,77.7254902,,
1744344043,36,33,96,1,,,77.05882353,,77.05882353,,
1744344043,28,39,96,1,,,76.39215686,,76.39215686,,
1744344043,28,30,90,1,,,74.92156863,,74.92156863,,
1744344043,29,33,90,1,,,73.56862745,,73.56862745,,
1744344043,21,34,90,1,,,72.21568627,,72.21568627,,
1744344043,21,30,90,1,,,70.8627451,,70.8627451,,
1744344043,21,33,90,1,,,69.50980392,,69.50980392,,
1744344043,2058,32,90,1,,,68.15686275,,68.15686275,,
1744344044,2753,30,90,1,,,66.80392157,,66.80392157,,
1744344044,38,35,90,1,,,65.45098039,,65.45098039,,
1744344044,38,35,90,1,,,64.09803922,,64.09803922,,
1744344044,332,35,90,1,,,62.74509804,,62.74509804,,
1744344044,973,2495,90,1,,,61.39215686,,61.39215686,,
1744344044,137,1123,90,1,,,60.03921569,,60.03921569,,
1744344044,23,1123,90,1,,,58.68627451,,58.68627451,,
1744344044,32,1123,90,1,,,57.33333333,,57.33333333,,
1744344044,35,584,90,1,,,55.98039216,,55.98039216,,
1744344044,35,510,90,1,,,54.62745098,,54.62745098,,
1744344045,33,66,90,1,,,53.2745098,,53.2745098,,
1744344045,30,32,90,1,,,51.92156863,,51.92156863,,
1744344045,29,34,90,1,,,50.56862745,,50.56862745,,
1744344045,26,36,90,1,,,49.21568627,,49.21568627,,
1744344045,21,37,90,1,,,47.8627451,,47.8627451,,
1744344045,23,33,90,1,,,46.50980392,,46.50980392,,
1744344045,22,31,90,1,,,45.15686275,,45.15686275,,
1744344045,36,29,90,1,,,43.80392157,,43.80392157,,
1744344045,31,30,90,1,,,42.45098039,,42.45098039,,
1744344045,35,32,62,1,,,41.09803922,,41.09803922,,
1744344046,31,34,62,1,,,40.29411765,,40.29411765,,
1744344046,33,35,62,1,,,39.49019608,,39.49019608,,
1744344046,41,31,62,1,,,38.68627451,,38.68627451,,
1744344046,18,33,62,1,,,37.88235294,,37.88235294,,
1744344046,21,40,62,1,,,37.07843137,,37.07843137,,
1744344046,23,30,62,1,,,36.2745098,,36.2745098,,
1744344046,24,24,62,1,,,35.47058824,,35.47058824,,
1744344046,31,27,62,1,,,34.66666667,,34.66666667,,
1744344046,30,30,62,1,,,33.8627451,,33.8627451,,
1744344047,34,34,62,1,,,33.05882353,,33.05882353,,
1744344047,22,29,62,1,,,32.25490196,,32.25490196,,
1744344047,19,41,62,1,,,31.45098039,,31.45098039,,
1744344047,24,31,62,1,,,30.64705882,,30.64705882,,
1744344047,27,32,62,1,,,29.84313725,,29.84313725,,
1744344047,27,27,62,1,,,29.03921569,,29.03921569,,
1744344047,27,27,62,1,,,28.23529412,,28.23529412,,
1744344047,27,32,62,1,,,27.43137255,,27.43137255,,
1744344047,1183,34,62,1,,,26.62745098,,26.62745098,,
1744344047,3061,32,62,1,,,25.82352941,,25.82352941,,
